Date,Account,Net,Type,Assignee,Assigned by,Status,Fan,Chat
"01 Apr, 2026 11:57 PM",alinashylife (id: 47639),13.27,Message,Никита (id: 167593),-,Complete,u523500563 (id: 523500563),https://onlyfans.com/my/chats/chat/523500563?firstId=9109282388054
"01 Apr, 2026 04:41 AM",alinashylife (id: 47639),15.99,Message,Никита (id: 167593),-,Complete,u501325315 (id: 501325315),https://onlyfans.com/my/chats/chat/501325315?firstId=9099653004550
"31 Mar, 2026 07:58 PM",alina_shy (id: 47672),15.75,Message,Назар (id: 139130),-,Complete,u224983591 (id: 224983591),https://onlyfans.com/my/chats/chat/224983591?firstId=9095157625568
"31 Mar, 2026 07:40 PM",alina_shy (id: 47672),12.55,Message,Назар (id: 139130),-,Complete,u224983591 (id: 224983591),https://onlyfans.com/my/chats/chat/224983591?firstId=9095038353659
"31 Mar, 2026 07:40 PM",alinashylife (id: 47639),16.00,Message,Назар (id: 139130),-,Complete,u161238522 (id: 161238522),https://onlyfans.com/my/chats/chat/161238522?firstId=9095017948648
"31 Mar, 2026 04:01 PM",alinashylife (id: 47639),7.99,Message,Назар (id: 139130),-,Complete,u161238522 (id: 161238522),https://onlyfans.com/my/chats/chat/161238522?firstId=9093175738493
"31 Mar, 2026 03:03 PM",alinashylife (id: 47639),15.20,Message,Андрей (id: 70354),-,Complete,u556815414 (id: 556815414),https://onlyfans.com/my/chats/chat/556815414?firstId=9092673726206
"31 Mar, 2026 01:56 PM",alinashylife (id: 47639),11.20,Message,Андрей (id: 70354),-,Complete,u107068744 (id: 107068744),https://onlyfans.com/my/chats/chat/107068744?firstId=9092136377423
"31 Mar, 2026 01:40 PM",alinashylife (id: 47639),2.40,Message,Андрей (id: 70354),-,Complete,u107068744 (id: 107068744),https://onlyfans.com/my/chats/chat/107068744?firstId=9079705645330
"31 Mar, 2026 01:26 AM",alinashylife (id: 47639),17.78,Message,Никита (id: 167593),-,Complete,u556815414 (id: 556815414),https://onlyfans.com/my/chats/chat/556815414?firstId=9085917891619
"30 Mar, 2026 08:37 PM",alinashylife (id: 47639),12.55,Message,Назар (id: 139130),-,Complete,u556815414 (id: 556815414),https://onlyfans.com/my/chats/chat/556815414?firstId=9083294834905
"30 Mar, 2026 11:37 AM",alinashyvip (id: 47644),16.00,Message,Андрей (id: 70354),-,Complete,u293821951 (id: 293821951),https://onlyfans.com/my/chats/chat/293821951?firstId=8856391695909
"30 Mar, 2026 05:40 AM",alinashylife (id: 47639),15.99,Message,Никита (id: 167593),-,Complete,u550943946 (id: 550943946),https://onlyfans.com/my/chats/chat/550943946?firstId=9076152161296
"30 Mar, 2026 03:25 AM",alinashylife (id: 47639),17.19,Message,Никита (id: 167593),-,Complete,u556815414 (id: 556815414),https://onlyfans.com/my/chats/chat/556815414?firstId=9074104882774
"30 Mar, 2026 01:04 AM",alinashylife (id: 47639),12.79,Message,Никита (id: 167593),-,Complete,u556815414 (id: 556815414),https://onlyfans.com/my/chats/chat/556815414?firstId=9073780071969
"30 Mar, 2026 12:26 AM",alinashylife (id: 47639),14.31,Message,Никита (id: 167593),-,Complete,u390046347 (id: 390046347),https://onlyfans.com/my/chats/chat/390046347?firstId=9073095388257
"29 Mar, 2026 08:37 AM",alinashyvip (id: 47644),16.00,Tip,Андрей (id: 70354),-,Complete,u559247674 (id: 559247674),https://onlyfans.com/my/chats/chat/559247674
"29 Mar, 2026 05:49 AM",alinashylife (id: 47639),14.31,Message,Никита (id: 167593),-,Complete,u556815414 (id: 556815414),https://onlyfans.com/my/chats/chat/556815414?firstId=9064583782647
"29 Mar, 2026 04:37 AM",alinashylife (id: 47639),10.39,Message,Никита (id: 167593),-,Complete,u556815414 (id: 556815414),https://onlyfans.com/my/chats/chat/556815414?firstId=9063972863084
"28 Mar, 2026 10:29 PM",alina_shy (id: 47672),19.19,Message,Андрей (id: 70354),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667?firstId=9061229235402
"28 Mar, 2026 10:00 PM",alina_shy (id: 47672),11.19,Message,Андрей (id: 70354),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667?firstId=9061033678825
"28 Mar, 2026 08:37 PM",alina_shy (id: 47672),26.95,Message,Андрей (id: 70354),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667?firstId=9060358606824
"28 Mar, 2026 08:12 PM",alina_shy (id: 47672),20.55,Message,Андрей (id: 70354),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667?firstId=9060147037704
"28 Mar, 2026 07:49 PM",alina_shy (id: 47672),12.80,Message,Андрей (id: 70354),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667?firstId=9059973679821
"28 Mar, 2026 03:28 AM",alinashylife (id: 47639),11.99,Message,Никита (id: 167593),-,Complete,u20215595 (id: 20215595),https://onlyfans.com/my/chats/chat/20215595?firstId=9051951566938
"28 Mar, 2026 03:22 AM",alinashylife (id: 47639),7.99,Message,Никита (id: 167593),-,Complete,u20215595 (id: 20215595),https://onlyfans.com/my/chats/chat/20215595?firstId=9051849559539
"27 Mar, 2026 08:15 PM",alinashylife (id: 47639),8.00,Message,Андрей (id: 70354),-,Complete,u491606623 (id: 491606623),https://onlyfans.com/my/chats/chat/491606623?firstId=9048246738895
"26 Mar, 2026 03:36 PM",alinashyvip (id: 47644),8.00,Message,Андрей (id: 70354),-,Complete,u514127236 (id: 514127236),https://onlyfans.com/my/chats/chat/514127236?firstId=9033771272518
"26 Mar, 2026 08:35 AM",alinashyvip (id: 47644),20.00,Message,Андрей (id: 70354),-,Complete,u436553191 (id: 436553191),https://onlyfans.com/my/chats/chat/436553191?firstId=9020305137774
"25 Mar, 2026 08:10 PM",alinashylife (id: 47639),11.99,Message,Андрей (id: 70354),-,Complete,u399918615 (id: 399918615),https://onlyfans.com/my/chats/chat/399918615?firstId=9022190783991
"25 Mar, 2026 01:57 PM",alinashylife (id: 47639),3.20,Message,Андрей (id: 70354),-,Complete,u491606623 (id: 491606623),https://onlyfans.com/my/chats/chat/491606623?firstId=9020802122688
"25 Mar, 2026 01:36 PM",alinashylife (id: 47639),3.20,Message,Андрей (id: 70354),-,Complete,u491606623 (id: 491606623),https://onlyfans.com/my/chats/chat/491606623?firstId=9020667344596
"25 Mar, 2026 12:42 PM",alinashyvip (id: 47644),12.55,Message,Андрей (id: 70354),-,Complete,u436553191 (id: 436553191),https://onlyfans.com/my/chats/chat/436553191?firstId=9020101502729
"25 Mar, 2026 01:37 AM",alinashylife (id: 47639),4.00,Message,Никита (id: 167593),-,Complete,u491606623 (id: 491606623),https://onlyfans.com/my/chats/chat/491606623?firstId=9014701322730
"25 Mar, 2026 01:23 AM",alinashylife (id: 47639),4.00,Message,Никита (id: 167593),-,Complete,u491606623 (id: 491606623),https://onlyfans.com/my/chats/chat/491606623?firstId=9014553509675
"25 Mar, 2026 12:21 AM",alinashylife (id: 47639),9.59,Message,Никита (id: 167593),-,Complete,u433474398 (id: 433474398),https://onlyfans.com/my/chats/chat/433474398?firstId=9013918974222
"24 Mar, 2026 10:31 AM",alina_shy (id: 47672),10.40,Message,Андрей (id: 70354),-,Complete,u506162830 (id: 506162830),https://onlyfans.com/my/chats/chat/506162830?firstId=8963329119048
"23 Mar, 2026 11:51 PM",alinashylife (id: 47639),4.00,Tip,Никита (id: 167593),-,Complete,james_schnitzel (id: 557591461),https://onlyfans.com/my/chats/chat/557591461
"23 Mar, 2026 11:26 PM",alinashylife (id: 47639),8.00,Tip,Никита (id: 167593),-,Complete,habibiluver4ever (id: 557816142),https://onlyfans.com/my/chats/chat/557816142
"22 Mar, 2026 03:04 PM",alina_shy (id: 47672),8.00,Tip,Макс (id: 160016),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667
"22 Mar, 2026 03:27 AM",alina_shy (id: 47672),15.20,Message,Андрей (id: 70354),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667?firstId=8980080146031
"22 Mar, 2026 02:52 AM",alina_shy (id: 47672),23.19,Message,Андрей (id: 70354),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667?firstId=8979760294959
"22 Mar, 2026 02:36 AM",alina_shy (id: 47672),20.79,Message,Андрей (id: 70354),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667?firstId=8979614362757
"21 Mar, 2026 05:08 PM",alinashylife (id: 47639),24.80,Tip,Андрей (id: 70354),-,Complete,u116653548 (id: 116653548),https://onlyfans.com/my/chats/chat/116653548
"21 Mar, 2026 04:46 PM",alinashylife (id: 47639),19.99,Message,Андрей (id: 70354),-,Complete,u116653548 (id: 116653548),https://onlyfans.com/my/chats/chat/116653548?firstId=8974706356716
"21 Mar, 2026 04:26 PM",alinashylife (id: 47639),14.39,Message,Андрей (id: 70354),-,Complete,u116653548 (id: 116653548),https://onlyfans.com/my/chats/chat/116653548?firstId=8974549722887
"21 Mar, 2026 04:12 PM",alinashylife (id: 47639),9.60,Message,Андрей (id: 70354),-,Complete,u116653548 (id: 116653548),https://onlyfans.com/my/chats/chat/116653548?firstId=8974418385941
"21 Mar, 2026 03:36 AM",alina_shy (id: 47672),35.19,Message,Андрей (id: 70354),-,Complete,u550282050 (id: 550282050),https://onlyfans.com/my/chats/chat/550282050?firstId=8968366769768
"21 Mar, 2026 03:20 AM",alina_shy (id: 47672),30.39,Message,Андрей (id: 70354),-,Complete,u550282050 (id: 550282050),https://onlyfans.com/my/chats/chat/550282050?firstId=8968217697259
"21 Mar, 2026 02:56 AM",alina_shy (id: 47672),21.35,Message,Андрей (id: 70354),-,Complete,u550282050 (id: 550282050),https://onlyfans.com/my/chats/chat/550282050?firstId=8967978648167
"21 Mar, 2026 02:28 AM",alina_shy (id: 47672),13.60,Message,Андрей (id: 70354),-,Complete,u550282050 (id: 550282050),https://onlyfans.com/my/chats/chat/550282050?firstId=8967725478266
"20 Mar, 2026 10:07 PM",alinashylife (id: 47639),9.60,Message,Андрей (id: 70354),-,Complete,hohehe1234 (id: 245496745),https://onlyfans.com/my/chats/chat/245496745?firstId=8965565968513
"20 Mar, 2026 03:20 PM",alinashylife (id: 47639),6.37,Tip,Андрей (id: 70354),Ivan  BK (id: 134895),Complete,u116653548 (id: 116653548),https://onlyfans.com/my/chats/chat/116653548
"20 Mar, 2026 11:58 AM",alina_shy (id: 47672),32.00,Tip,Макс (id: 160016),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667
"20 Mar, 2026 11:32 AM",alina_shy (id: 47672),8.00,Tip,Макс (id: 160016),Ivan  BK (id: 134895),Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667
"18 Mar, 2026 02:07 PM",alinashylife (id: 47639),14.39,Message,Макс (id: 160016),-,Complete,kraggie32 (id: 408793374),https://onlyfans.com/my/chats/chat/408793374?firstId=8937576955484
"17 Mar, 2026 08:21 AM",alinashylife (id: 47639),4.00,Tip,Ivan  BK (id: 134895),Ivan  BK (id: 134895),Complete,u116653548 (id: 116653548),https://onlyfans.com/my/chats/chat/116653548
"16 Mar, 2026 04:01 PM",alinashylife (id: 47639),8.00,Message,Георгий (id: 163475),-,Complete,u249680469 (id: 249680469),https://onlyfans.com/my/chats/chat/249680469?firstId=8914757994816
"15 Mar, 2026 08:10 PM",alina_shy (id: 47672),14.40,Message,Андрей (id: 70354),-,Complete,u224983591 (id: 224983591),https://onlyfans.com/my/chats/chat/224983591?firstId=8905250597321
"15 Mar, 2026 07:45 PM",alinashyvip (id: 47644),8.00,Tip,Андрей (id: 70354),-,Complete,u152316748 (id: 152316748),https://onlyfans.com/my/chats/chat/152316748
"15 Mar, 2026 07:34 PM",alina_shy (id: 47672),12.00,Message,Андрей (id: 70354),-,Complete,u224983591 (id: 224983591),https://onlyfans.com/my/chats/chat/224983591?firstId=8904941485265
"15 Mar, 2026 09:49 AM",alinashyvip (id: 47644),15.99,Message,Макс (id: 160016),-,Complete,tomtudor (id: 46354708),https://onlyfans.com/my/chats/chat/46354708?firstId=8900416834137
"15 Mar, 2026 08:53 AM",alinashyvip (id: 47644),16.00,Tip,Макс (id: 160016),-,Complete,tomtudor (id: 46354708),https://onlyfans.com/my/chats/chat/46354708
"15 Mar, 2026 04:20 AM",alinashylife (id: 47639),28.00,Message,Георгий (id: 163475),-,Complete,u501325315 (id: 501325315),https://onlyfans.com/my/chats/chat/501325315?firstId=8897921871844
"15 Mar, 2026 04:10 AM",alinashylife (id: 47639),17.60,Message,Георгий (id: 163475),-,Complete,u501325315 (id: 501325315),https://onlyfans.com/my/chats/chat/501325315?firstId=8897805573280
"15 Mar, 2026 04:00 AM",alinashylife (id: 47639),12.00,Message,Георгий (id: 163475),-,Complete,u501325315 (id: 501325315),https://onlyfans.com/my/chats/chat/501325315?firstId=8897548590893
"15 Mar, 2026 01:45 AM",alina_shy (id: 47672),32.00,Message,Георгий (id: 163475),-,Complete,u550282050 (id: 550282050),https://onlyfans.com/my/chats/chat/550282050?firstId=8896607555388
"15 Mar, 2026 01:35 AM",alina_shy (id: 47672),24.00,Message,Георгий (id: 163475),-,Complete,u550282050 (id: 550282050),https://onlyfans.com/my/chats/chat/550282050?firstId=8896542844156
"15 Mar, 2026 01:24 AM",alina_shy (id: 47672),18.40,Message,Георгий (id: 163475),-,Complete,u550282050 (id: 550282050),https://onlyfans.com/my/chats/chat/550282050?firstId=8896436377126
"15 Mar, 2026 01:08 AM",alina_shy (id: 47672),20.00,Message,Георгий (id: 163475),-,Complete,u550282050 (id: 550282050),https://onlyfans.com/my/chats/chat/550282050?firstId=8896283352852
"15 Mar, 2026 12:57 AM",alina_shy (id: 47672),12.00,Message,Георгий (id: 163475),-,Complete,u550282050 (id: 550282050),https://onlyfans.com/my/chats/chat/550282050?firstId=8896201538536
"15 Mar, 2026 12:48 AM",alina_shy (id: 47672),9.60,Message,Георгий (id: 163475),-,Complete,u550282050 (id: 550282050),https://onlyfans.com/my/chats/chat/550282050?firstId=8896128689977
"14 Mar, 2026 06:31 PM",alina_shy (id: 47672),22.39,Message,Макс (id: 160016),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667?firstId=8890244769161
"14 Mar, 2026 06:47 AM",alinashyvip (id: 47644),8.00,Message,Георгий (id: 163475),-,Complete,u532489762 (id: 532489762),https://onlyfans.com/my/chats/chat/532489762?firstId=8887516533468
"14 Mar, 2026 04:22 AM",alinashylife (id: 47639),12.00,Message,Георгий (id: 163475),-,Complete,u472869453 (id: 472869453),https://onlyfans.com/my/chats/chat/472869453?firstId=8886347188846
"14 Mar, 2026 04:09 AM",alinashylife (id: 47639),12.00,Message,Георгий (id: 163475),-,Complete,u472869453 (id: 472869453),https://onlyfans.com/my/chats/chat/472869453?firstId=8886229326787
"14 Mar, 2026 03:27 AM",alina_shy (id: 47672),12.00,Message,Георгий (id: 163475),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667?firstId=8885877497438
"14 Mar, 2026 03:19 AM",alina_shy (id: 47672),52.00,Message,Георгий (id: 163475),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667?firstId=8885788227733
"14 Mar, 2026 02:54 AM",alina_shy (id: 47672),20.00,Message,Георгий (id: 163475),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667?firstId=8885573668446
"14 Mar, 2026 02:41 AM",alina_shy (id: 47672),8.00,Message,Георгий (id: 163475),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667?firstId=8885475771748
"14 Mar, 2026 02:35 AM",alina_shy (id: 47672),8.00,Message,Георгий (id: 163475),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667?firstId=8885376311086
